id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12578052,2bdr appt 15 min. to centre + gardn,2527236,Janine,,Noord-Oost,52.39367184434401,4.954516652085803,Entire home/apt,120,5,0,,,3,135
8649281,Big family house 12 minutes from CS,13861116,August,,Noord-Oost,52.39674953823747,4.957236916369603,Entire home/apt,55,1,6,2015-11-12,0.70,6,109
2550665,*Beautiful *lakeside*family-house  ,12997063,"Milah, Abram En Aram",,Noord-Oost,52.414304498403425,5.027688954448574,Entire home/apt,171,2,11,2015-07-27,0.42,1,274
12309072,Amsterdam Noord,66377477,Fabio,,Noord-Oost,52.404935423270466,4.928441704767568,Private room,69,3,0,,,2,178
6417023,Amsterdam Countryside. Family house,18590000,Sander,,Noord-Oost,52.407576802693406,4.964702082604021,Entire home/apt,75,5,3,2015-08-15,0.26,1,0
6484413,NICE APARTMENT IN AMSTERDAM NORTH,33887116,John,,Noord-Oost,52.3984750825128,4.945117657937271,Entire home/apt,175,2,31,2016-05-15,2.34,1,353
13199738,Family house at dyke + great garden + free parking,73931475,Zander,,Noord-Oost,52.37994424797125,5.000105588352865,Entire home/apt,120,3,0,,,1,34
10479859,House with view on the river!,54015357,Martijn,,Noord-Oost,52.387271962868404,4.956628002582922,Entire home/apt,255,1,0,,,1,15
13526838,Baanakkerspark amsterdam,77733713,Jos,,Noord-Oost,52.39621125198737,4.945447656056266,Entire home/apt,175,2,0,,,1,15
3990045,"Groot, modern, mooi gezinshuis.",7736832,Robert,,Noord-Oost,52.408424733473126,4.934696987880022,Entire home/apt,200,2,5,2016-05-22,0.36,1,77
5595867,Spacious room with private bathroom,224275,Arnoud,,Noord-Oost,52.39890501813169,4.950883451095282,Private room,60,2,18,2016-06-21,1.15,1,30
12783817,24 m2 room with balcony,69573952,Masis,,Noord-Oost,52.403663617199186,4.945924942388901,Private room,69,3,0,,,1,56
13646589,STUNNING family apt with balcony!,669178,Sammy,,Noord-Oost,52.395971560575234,4.939867189106429,Entire home/apt,149,2,0,,,156,28
2940577,Detached family home in center,15013253,Heleen,,Noord-Oost,52.39831470621982,4.925242169361386,Entire home/apt,168,2,0,,,1,365
2613187,B&B DE ZWARTE KAT,13381627,Dezwartekat,,Noord-Oost,52.39449780411922,4.945398676032854,Private room,68,2,73,2016-06-12,2.66,1,293
12868845,Room for the easy traveller,67844968,Tim,,Noord-Oost,52.39514030789004,4.931766020678771,Private room,50,1,2,2016-06-21,1.33,3,364
3561418,Charming dikehouse A'dam North (2 kayaks/1 boat),17929296,"Ernst, Jessica & Madelief",,Noord-Oost,52.38655094788697,4.955695705146791,Entire home/apt,139,5,0,,,1,81
613088,Your own cottage in the countryside,3040748,Henk,,Noord-Oost,52.40991541897414,4.962910611730041,Entire home/apt,78,1,150,2016-06-17,3.19,9,290
11556728,Gypsy Waggon - Your villa on wheels,3040748,Henk,,Noord-Oost,52.413163650845966,4.945775227762968,Entire home/apt,91,2,3,2016-05-31,1.14,9,183
3462884,Private Modern Room + Sunny Terrace,11969034,Raul,,Noord-Oost,52.40383082087025,4.938426697218918,Private room,60,4,101,2016-06-27,4.16,6,27
11496001,Super locatie,60510703,Sandra,,Noord-Oost,52.401506615986385,4.937348672794831,Entire home/apt,146,90,3,2016-06-26,3,1,365
13269364,Comfortable room 15 minutes to Amsterdam centre.,2527236,Janine,,Noord-Oost,52.39368433825244,4.955274494136902,Private room,55,2,1,2016-06-14,1,3,64
13424779,Nice family apartment in Amsterdam,7237490,Yasser,,Noord-Oost,52.39352414342618,4.9547021815550725,Entire home/apt,100,9,0,,,1,11
12553894,Great family house + roof terrace,68042876,Petra,,Noord-Oost,52.38839235315761,4.957000023173438,Entire home/apt,100,2,1,2016-05-01,0.46,1,34
3036359,"Cosy House Boat, well located",14271525,Annelieke,,Noord-Oost,52.37701145680322,4.978152707300466,Entire home/apt,81,2,4,2016-03-08,0.50,1,237
13127944,Sunny family home 10 minutes from citycentre,21055819,Tom,,Noord-Oost,52.394484036643576,4.930343500004239,Entire home/apt,140,4,0,,,1,8
13424878,Great family villa in hip north part of Amsterdam,76529415,Noelle,,Noord-Oost,52.39644880280847,4.9511596851812625,Entire home/apt,100,2,0,,,1,5
6680635,Lovely family house in quiet street,34640268,Berber,,Noord-Oost,52.40692566617077,4.932043914310048,Entire home/apt,125,3,2,2016-01-03,0.17,1,7
10868311,Large Clean & Modern Room for rent,2160394,Serge,,Noord-Oost,52.39711340113671,4.940607195787829,Private room,60,1,0,,,1,94
1168916,Lovely Country side house Amsterdam,3289006,Ellen,,Noord-Oost,52.38361888809258,4.977971999672187,Entire home/apt,120,2,45,2016-06-25,1.28,2,115
9556918,Romantic attic room with free WiFi,36025288,Olga,,Noord-Oost,52.403939859923284,4.929715128959312,Private room,50,3,27,2016-06-29,3.73,1,10
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39549794275491,4.995761024623377,Private room,120,2,0,,,1,348
6901054,NICE AMSTERDAM! Familyhome!!,32294984,Christel,,Noord-Oost,52.40695501337769,4.92938661409129,Entire home/apt,165,7,1,2015-07-31,0.09,1,81
13324378,GREAT family apt. with a big garden + trampoline!,669178,Sammy,,Noord-Oost,52.39039599527,4.957286047725989,Entire home/apt,149,2,0,,,156,14
7720233,Family house between city & nature,40565277,Iris,,Noord-Oost,52.405425033615465,4.933314821353228,Entire home/apt,125,5,0,,,1,0
9752272,Kas and Hannah's cosy home,50301103,Kas,,Noord-Oost,52.395551404520425,4.957826463263912,Entire home/apt,80,1,1,2016-01-03,0.16,1,148
2864823,Room own entrance with sunny garden,14642357,Carolina,,Noord-Oost,52.3960862800791,4.950179985088723,Private room,55,2,62,2016-06-25,2.33,1,20
9555135,Stunning Houseboat in Amsterdam,47252533,Jason,,Noord-Oost,52.379024470208236,4.975130069169515,Entire home/apt,180,2,18,2016-06-28,3.05,2,0
8162480,Spacious Apartment Uptown Amsterdam,2225212,Maxime,,Noord-Oost,52.400287653726664,4.93131141245925,Entire home/apt,169,2,7,2016-05-17,0.80,2,90
12666580,Amazing family house + free parking,68817389,Anita,,Noord-Oost,52.38388865227363,4.966102571534406,Entire home/apt,120,2,0,,,1,16
8081294,Room in our new build farm/villa,42686271,Paul,,Noord-Oost,52.4088998377426,4.966513715793625,Private room,95,2,4,2015-10-20,0.41,1,0
12207691,Spacey room for 2,64739102,Aurelia,,Noord-Oost,52.396805503621934,4.954288933892336,Private room,63,2,9,2016-06-26,3.29,1,215
12829995,Spacious house with sunny garden,30828484,Harry,,Noord-Oost,52.39110420987736,4.953849003375745,Entire home/apt,149,4,1,2016-06-20,1,1,37
13026508,Cozy apartment with nice view!,71954436,Joyce,,Noord-Oost,52.396249376365645,4.946205718833967,Entire home/apt,80,3,0,,,1,0
3785760,Spacious Room,19429461,Catalina & Matei,,Noord-Oost,52.39342253803045,4.956141658580853,Private room,70,2,4,2016-05-02,1.24,1,358
7160841,Your  waggon at the cows paradise,3040748,Henk,,Noord-Oost,52.40653759287596,4.995237782004904,Entire home/apt,74,2,20,2016-06-24,1.80,9,184
9389404,Rustig gelegen studio in Durgerdam,48705328,Ans,,Noord-Oost,52.37514509550576,4.984980916653469,Private room,90,4,0,,,1,365
